k,silhouette_score
2,0.26303149625981687
3,0.254545959407606
4,0.28644641664341736
5,0.2626453239721944
6,0.24429840040504908
7,0.24995309082641776
8,0.22481769224682305
9,0.23057405510057372
10,0.2184604420169068
